,City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
388,krabi,8.07,98.91,296.15,100,75,2.4,TH,1595361186
389,caravelas,-17.71,-39.25,295.82,70,0,2.32,BR,1595361223
390,strelka,58.07,93.03,285.18,85,65,1.85,RU,1595361223
391,bonavista,48.65,-53.11,294.35,68,92,8.72,CA,1595361043
392,thunder bay,48.4,-89.32,292.15,59,90,2.1,CA,1595361075
393,richards bay,-28.78,32.04,289.66,87,0,2.76,ZA,1595361223
394,methoni,36.82,21.7,300.93,69,0,1.5,GR,1595361224
395,troitsko-pechorsk,62.71,56.2,286.66,77,0,2.21,RU,1595361224
396,sur,22.57,59.53,302.21,73,100,8.84,OM,1595361224
397,goianesia,-15.32,-49.12,302.45,26,0,2.58,BR,1595361224
398,gizo,-8.1,156.84,299.9,82,40,8.94,SB,1595361086
399,alofi,-19.06,-169.92,296.15,100,93,2.1,NU,1595361087
400,tessalit,20.2,1.01,306.59,30,79,9.35,ML,1595361090
401,redcliffe,-27.23,153.1,287.59,62,100,4.1,AU,1595360959
402,sola,-13.88,167.55,297.95,73,85,8.34,VU,1595361225
403,blagoyevo,63.37,47.92,290.38,71,22,3.06,RU,1595361225
404,sobolevo,54.43,31.9,288.44,95,32,4.06,RU,1595361206
405,moers,51.45,6.65,292.15,45,35,2.1,DE,1595361225
406,morondava,-20.28,44.28,293.69,72,0,5.64,MG,1595361045
407,zhigansk,66.77,123.37,287.15,95,100,7.21,RU,1595361226
408,mananjary,-21.22,48.33,292.22,81,98,2.07,MG,1595361226
409,smithers,54.78,-127.17,292.15,77,40,2.1,CA,1595361226
410,hofn,64.25,-15.21,284.64,78,100,6.79,IS,1595361226
411,honningsvag,70.98,25.97,283.15,93,75,0.5,NO,1595361063
412,moose factory,51.26,-80.61,297.15,44,75,4.1,CA,1595361227
413,inhambane,-23.86,35.38,293.15,68,75,2.1,MZ,1595361016
414,shihezi,44.3,86.03,297.08,41,54,2.12,CN,1595361227
415,chegdomyn,51.12,133.02,287.14,71,18,0.56,RU,1595361227
416,dudinka,69.41,86.18,284.15,87,40,9,RU,1595361228
417,coro,11.4,-69.67,304.98,57,13,9.58,VE,1595361228
418,kungurtug,50.6,97.52,287.12,88,100,0.39,RU,1595361228
419,jutogh,31.1,77.12,287.79,96,1,1.81,IN,1595361228
420,nueve de julio,-35.44,-60.88,284.82,98,100,1.79,AR,1595361229
421,kumylzhenskaya,49.88,42.59,294.26,67,13,0.89,RU,1595361229
422,aksarka,66.56,67.8,284.49,72,41,1.73,RU,1595361229
423,mehamn,71.04,27.85,284.15,93,90,3.07,NO,1595361229
424,oussouye,12.48,-16.55,300.15,88,75,4.1,SN,1595361229
425,alcudia,39.85,3.12,301.48,45,0,3.1,ES,1595361230
426,mount vernon,40.91,-73.84,308.15,30,40,5.7,US,1595361230
427,kajaani,64.23,27.73,290.15,93,99,0.5,FI,1595361230
428,san patricio,19.22,-104.7,306.15,70,20,5.1,MX,1595361060
429,touros,-5.2,-35.46,299.15,74,75,4.6,BR,1595361230
430,ramona,33.04,-116.87,302.04,51,1,3.6,US,1595361231
431,kamaishi,39.27,141.88,294.05,91,96,3.55,JP,1595361119
432,tammisaari,59.97,23.43,289.26,82,2,4.86,FI,1595361231
433,ngunguru,-35.62,174.5,280.93,3,1,2.24,NZ,1595361231
434,shasta lake,40.68,-122.37,307.59,34,0,0.45,US,1595361231
435,havre-saint-pierre,50.23,-63.6,293.15,60,1,11.8,CA,1595361231
436,hue,16.47,107.6,299.15,83,20,1.5,VN,1595361231
437,saint anthony,45.02,-93.22,300.37,69,40,2.1,US,1595361232
438,kalmar,56.66,16.36,289.82,59,1,5.1,SE,1595361232
439,tirumullaivasal,11.23,79.83,301.51,77,76,5.71,IN,1595361232
440,bull savanna,17.89,-77.59,302.24,69,48,7.19,JM,1595361232
441,mazagao,-0.12,-51.29,307.15,52,75,2.1,BR,1595361232
442,krasnogorskoye,52.3,86.2,288.6,95,86,1.18,RU,1595361232
443,bend,44.06,-121.32,305.15,22,1,4.1,US,1595361027
444,praia,14.92,-23.51,302.15,62,16,4.6,CV,1595361233
445,yining,29.04,114.56,297.38,90,100,1,CN,1595361233
446,george,-33.96,22.46,287.15,54,0,1,ZA,1595361233
447,plettenberg bay,-34.05,23.37,289,52,0,2.68,ZA,1595361092
448,korla,41.76,86.15,297.04,89,45,0.45,CN,1595361233
449,shizunai,42.33,142.37,291.26,95,100,6.2,JP,1595361234
450,russell,32.35,-85.2,308.15,44,1,1.5,US,1595361098
451,takoradi,4.88,-1.76,297.55,90,95,3.91,GH,1595361234
452,dankov,53.25,39.16,289.15,77,0,4,RU,1595361234
453,umm lajj,25.02,37.27,304.52,54,15,2.78,SA,1595361234
454,kirkenaer,60.46,12.06,286.48,71,94,2.6,NO,1595361234
455,mhlume,-26.03,31.85,284.82,88,0,0.59,SZ,1595361234
456,puli,23.97,120.97,302.04,88,40,1,TW,1595361235
457,vung tau,10.35,107.08,301.42,75,48,2.28,VN,1595361235
458,curillo,1.03,-75.92,304.14,55,62,0.3,CO,1595361235
459,inndyr,67.03,14.03,285.15,76,75,4.1,NO,1595361235
460,kloulklubed,7.04,134.26,299.15,88,75,3.92,PW,1595361121
461,conceicao da barra,-18.59,-39.73,295.94,79,2,2.98,BR,1595361236
462,marzuq,14.4,46.47,302.15,50,100,2.48,YE,1595361236
463,bulungu,-4.55,18.6,299.34,31,0,1.01,CD,1595361236
464,sanghar,26.05,68.95,306.15,59,40,3.1,PK,1595361236
465,shenjiamen,29.96,122.3,298.8,94,90,6.95,CN,1595361093
466,ancud,-41.87,-73.82,283.15,66,100,4.1,CL,1595361236
467,kruisfontein,-34,24.73,289.7,33,0,4.19,ZA,1595361236
468,quatre cocos,-20.21,57.76,294.15,60,75,4.6,MU,1595361074
469,hay river,60.82,-115.8,293.15,82,75,1.5,CA,1595361237
470,nabire,-3.37,135.48,297.05,87,6,2.08,ID,1595361237
471,lasa,46.62,10.7,290.37,82,40,1,IT,1595361086
472,sungaipenuh,-2.08,101.38,291.42,94,81,1.31,ID,1595361237
473,yar-sale,66.83,70.83,280.61,71,0,1.01,RU,1595361237
474,rocha,-34.48,-54.33,294.84,87,100,1.84,UY,1595361086
475,arecibo,18.47,-66.72,304.26,90,97,7.3,PR,1595361238
476,guane,22.2,-84.09,303.9,62,36,2.53,CU,1595361238
477,zhanaozen,43.3,52.8,303.31,39,100,4.76,KZ,1595361238
478,antalaha,-14.9,50.28,292.75,81,27,4.91,MG,1595361238
479,lensk,60.73,114.93,285.87,92,100,4.53,RU,1595361238
480,tambopata,-12.73,-69.18,306.15,55,40,2.6,PE,1595361238
481,aspindza,41.57,43.25,290.51,81,50,1.29,GE,1595361239
482,beringovskiy,63.05,179.32,282.34,74,0,1.67,RU,1595361045
483,khorramshahr,30.44,48.17,308.15,47,0,1,IR,1595361239
484,rovaniemi,66.5,25.72,291.15,77,100,2.6,FI,1595361239
485,alekseyevsk,57.84,108.35,281.65,86,4,0.44,RU,1595361239
486,mildura,-34.2,142.15,275.37,93,2,2.1,AU,1595361239
487,ocos,14.51,-92.19,305.15,70,40,2.6,GT,1595361240
488,cabadiangan,9.75,122.47,298.39,85,85,1.44,PH,1595361240
489,addis abeba,9.03,38.75,286.83,88,100,2.42,ET,1595361240
490,nishihara,26.18,127.76,301.15,83,20,1.5,JP,1595361240
491,parintins,-2.63,-56.74,305.18,48,70,1.52,BR,1595361240
492,laguna,38.42,-121.42,301.48,44,1,5.7,US,1595361241
493,petropavlovsk-kamchatskiy,53.05,158.65,283.15,100,27,2,RU,1595361241
494,kaliua,-5.06,31.79,292.5,47,4,1.61,TZ,1595361241
495,sokolka,53.41,23.5,289.26,63,21,3.15,PL,1595361097
496,niamey,13.51,2.11,297.15,83,41,0.5,NE,1595361241
497,den helder,52.96,4.76,288.71,72,20,3.6,NL,1595361241
498,yatou,37.15,122.38,293.11,89,100,0.76,CN,1595361242
499,sabang,5.89,95.32,301.13,70,100,1.08,ID,1595361094
500,ixtapa,20.7,-105.2,305.37,74,20,4.6,MX,1595361242
501,thayetmyo,19.32,95.18,298.26,88,100,2.42,MM,1595361242
502,lagoa,39.05,-27.98,293.97,75,0,2.27,PT,1595361027
503,harper,4.38,-7.72,297.68,88,100,4.53,LR,1595361079
504,caceres,39.52,-6.37,299.26,52,100,0.45,ES,1595361243
505,zhezkazgan,47.8,67.71,295.97,52,36,1.47,KZ,1595361243
506,yamethin,20.43,96.15,298.01,75,100,2.89,MM,1595361243
507,sri aman,1.24,111.46,298.15,100,100,0.43,MY,1595361243
508,saryg-sep,51.5,95.6,289.37,93,100,0.37,RU,1595361243
509,ketchikan,55.34,-131.65,288.15,82,75,3.6,US,1595361121
510,guaira,-20.32,-48.31,301.11,33,0,1.94,BR,1595361244
511,zaysan,47.47,84.87,291.84,70,57,3.64,KZ,1595361244
512,minab,27.15,57.08,307.15,75,20,1,IR,1595361244
513,hohhot,40.81,111.65,291.15,68,52,1,CN,1595361244
514,nhulunbuy,-12.23,136.77,294.15,94,8,2.1,AU,1595361244
515,foster,41.85,-71.76,305.37,49,27,3.66,US,1595361244
516,somanda,-3.37,33.95,296.47,42,96,3.08,TZ,1595361245
517,deniliquin,-35.53,144.97,277.8,93,0,2.51,AU,1595361245
518,jiblah,13.92,44.15,290.49,88,98,1.89,YE,1595361245
519,priargunsk,50.37,119.1,286.04,71,16,2.15,RU,1595361245
520,haines junction,60.75,-137.51,285.73,75,99,1.52,CA,1595361245
521,suluq,31.67,20.25,295.73,77,0,6.12,LY,1595361245
522,obigarm,38.72,69.71,294.28,36,93,2.25,TJ,1595361245
523,shingu,33.73,135.98,296.58,91,1,1.5,JP,1595361246
524,kefamenanu,-9.45,124.48,292.68,90,98,1.8,ID,1595361246
525,la ronge,55.1,-105.28,297.15,57,40,1.5,CA,1595361110
526,salalah,17.02,54.09,300.15,94,75,2.6,OM,1595361246
527,alice springs,-23.7,133.88,276.15,100,0,3,AU,1595361036
528,kirakira,-10.45,161.92,297.33,81,44,3.47,SB,1595361246
529,kushiro,42.98,144.37,289.32,97,100,3.41,JP,1595360954
530,darnah,32.77,22.64,297.27,83,0,9.45,LY,1595361217
531,kuandian,40.73,124.78,291.41,90,98,0.97,CN,1595361247
532,sao gabriel da cachoeira,-0.13,-67.09,299.15,88,40,1,BR,1595361247
533,muros,42.78,-9.06,296.48,67,0,8.05,ES,1595361066
534,santa rosa,14.31,121.11,298.15,88,100,1.5,PH,1595361247
535,ouadda,8.08,22.4,293.59,93,57,0.83,CF,1595361247
536,kita,13.03,-9.49,300.32,72,34,1.42,ML,1595361247
537,svetlogorsk,52.63,29.73,288.7,91,0,4.31,BY,1595361248
538,sokolo,14.73,-6.12,307.42,37,10,1.87,ML,1595361248
539,guadix,37.3,-3.14,299.26,21,21,7.15,ES,1595361248
540,pemangkat,1.17,108.97,298.57,82,63,0.82,ID,1595361169
541,derzhavinsk,51.1,66.32,292.66,67,87,4.94,KZ,1595361248
542,okha,53.57,142.95,284.11,89,100,5.63,RU,1595361248
543,komsomolskiy,40.43,71.72,296.15,46,0,4.1,UZ,1595361248
544,benito juarez,19.39,-99.17,298.15,29,40,2.1,MX,1595361053
545,mariental,-24.63,17.97,287.05,32,0,4.93,NA,1595361249
546,mogadishu,2.04,45.34,298.19,80,57,9.48,SO,1595361019
547,kinango,-4.14,39.32,294.85,84,88,3.79,KE,1595361249
548,trincomalee,8.57,81.23,301.16,76,100,1.23,LK,1595361249
549,ulagan,50.63,87.96,287.41,79,100,0.69,RU,1595361249
